t,u_nominal control,u_SAA control
0.000000000000000000e+00,1.191940863170820683e-07,4.088669633113551314e-06
3.058500000000000107e-02,1.191946978995228401e-07,4.088423988069167743e-06
6.117000000000000215e-02,1.191959374680392787e-07,4.087933332997137841e-06
9.175500000000000322e-02,1.191978231691756401e-07,4.087198510221357991e-06
1.223400000000000043e-01,1.192003734266517910e-07,4.086220526755290035e-06
1.529250000000000054e-01,1.192036069416029715e-07,4.085000554134972962e-06
1.835100000000000064e-01,1.192075426927242278e-07,4.083539928006684731e-06
2.140950000000000075e-01,1.192121999363204137e-07,4.081840147468314860e-06
2.446800000000000086e-01,1.192175982062595108e-07,4.079902874171849163e-06
2.752649999999999819e-01,1.192237573138293082e-07,4.077729931178007561e-06
3.058500000000000107e-01,1.192306973474988964e-07,4.075323301581057299e-06
3.364350000000000396e-01,1.192384386725821436e-07,4.072685126884228311e-06
3.670200000000000129e-01,1.192470019308058153e-07,4.069817705153196645e-06
3.976049999999999862e-01,1.192564080397804957e-07,4.066723488933268560e-06
4.281900000000000150e-01,1.192666781923758748e-07,4.063405082945662670e-06
4.587750000000000439e-01,1.192778338560000822e-07,4.059865241560236371e-06
4.893600000000000172e-01,1.192898967717848147e-07,4.056106866059810831e-06
5.199449999999999905e-01,1.193028889536750673e-07,4.052133001694923077e-06
5.505299999999999638e-01,1.193168326874257961e-07,4.047946834535965269e-06
5.811150000000000482e-01,1.193317505295064665e-07,4.043551688145288811e-06
6.117000000000000215e-01,1.193476653059137510e-07,4.038951020044057982e-06
6.422849999999999948e-01,1.193646001108943628e-07,4.034148418028410472e-06
6.728700000000000792e-01,1.193825783055790030e-07,4.029147596300447204e-06
7.034550000000000525e-01,1.194016235165294345e-07,4.023952391452347485e-06
7.340400000000000258e-01,1.194217596342000852e-07,4.018566758299313343e-06
7.646249999999999991e-01,1.194430108113161382e-07,4.012994765577261335e-06
7.952099999999999724e-01,1.194654014611699636e-07,4.007240591515124683e-06
8.257950000000000568e-01,1.194889562558380081e-07,4.001308519288007516e-06
8.563800000000000301e-01,1.195137001243208432e-07,3.995202932368312302e-06
8.869650000000000034e-01,1.195396582506082240e-07,3.988928309785239490e-06
9.175500000000000878e-01,1.195668560716724158e-07,3.982489221290739991e-06
9.481350000000000611e-01,1.195953192753913213e-07,3.975890322472184193e-06
9.787200000000000344e-01,1.196250737984057263e-07,3.969136349785524242e-06
1.009305000000000119e+00,1.196561458239123552e-07,3.962232115554059153e-06
1.039889999999999981e+00,1.196885617793969988e-07,3.955182502920600407e-06
1.070475000000000065e+00,1.197223483343095676e-07,3.947992460777352954e-06
1.101059999999999928e+00,1.197575323976857563e-07,3.940666998677878937e-06
1.131645000000000012e+00,1.197941411157183879e-07,3.933211181749689058e-06
1.162230000000000096e+00,1.198322018692815896e-07,3.925630125601755986e-06
1.192814999999999959e+00,1.198717422714117697e-07,3.917928991259254793e-06
1.223400000000000043e+00,1.199127901647496311e-07,3.910112980122044023e-06
1.253985000000000127e+00,1.199553736189471653e-07,3.902187328953475633e-06
1.284569999999999990e+00,1.199995209280428822e-07,3.894157304927139439e-06
1.315155000000000074e+00,1.200452606078101212e-07,3.886028200714936841e-06
1.345740000000000158e+00,1.200926213930829144e-07,3.877805329650482886e-06
1.376325000000000021e+00,1.201416322350632167e-07,3.869494020961543206e-06
1.406910000000000105e+00,1.201923222986139468e-07,3.861099615083433755e-06
1.437494999999999967e+00,1.202447209595432144e-07,3.852627459059248204e-06
1.468080000000000052e+00,1.202988578018830685e-07,3.844082902038511399e-06
1.498665000000000136e+00,1.203547626151684296e-07,3.835471290878929449e-06
1.529249999999999998e+00,1.204124653917209736e-07,3.826797965857988119e-06
1.559835000000000083e+00,1.204719963239418814e-07,3.818068256494166607e-06
1.590419999999999945e+00,1.205333858016193337e-07,3.809287477498200526e-06
1.621005000000000029e+00,1.205966644092550361e-07,3.800460924842496658e-06
1.651590000000000114e+00,1.206618629234153885e-07,3.791593871962303695e-06
1.682174999999999976e+00,1.207290123101114269e-07,3.782691566097349830e-06
1.712760000000000060e+00,1.207981437222138645e-07,3.773759224760132531e-06
1.743345000000000145e+00,1.208692884969063011e-07,3.764802032360161481e-06
1.773930000000000007e+00,1.209424781531844647e-07,3.755825136958335426e-06
1.804515000000000091e+00,1.210177443894041042e-07,3.746833647176460722e-06
1.835100000000000176e+00,1.210951190808839652e-07,3.737832629251960235e-06
1.865685000000000038e+00,1.211746342775688791e-07,3.728827104241819696e-06
1.896270000000000122e+00,1.212563222017577298e-07,3.719822045382115806e-06
1.926854999999999984e+00,1.213402152459019883e-07,3.710822375586670760e-06
1.957440000000000069e+00,1.214263459704797133e-07,3.701832965117287286e-06
1.988025000000000153e+00,1.215147471019492779e-07,3.692858629380775189e-06
2.018610000000000237e+00,1.216054515307898918e-07,3.683904126901076969e-06
2.049195000000000100e+00,1.216984923096320405e-07,3.674974157424331031e-06
2.079779999999999962e+00,1.217939026514843275e-07,3.666073360182560022e-06
2.110365000000000268e+00,1.218917159280601875e-07,3.657206312298869996e-06
2.140950000000000131e+00,1.219919656682114313e-07,3.648377527344058416e-06
2.171534999999999993e+00,1.220946855564719577e-07,3.639591454034489463e-06
2.202119999999999855e+00,1.221999094317168740e-07,3.630852475071215899e-06
2.232705000000000162e+00,1.223076712859426364e-07,3.622164906120358074e-06
2.263290000000000024e+00,1.224180052631722066e-07,3.613532994929246647e-06
2.293874999999999886e+00,1.225309456584893287e-07,3.604960920575125959e-06
2.324460000000000193e+00,1.226465269172086748e-07,3.596452792848608492e-06
2.355045000000000055e+00,1.227647836341846665e-07,3.588012651758686180e-06
2.385629999999999917e+00,1.228857505532636296e-07,3.579644467169193609e-06
2.416215000000000224e+00,1.230094625668843123e-07,3.571352138550313111e-06
2.446800000000000086e+00,1.231359547158316633e-07,3.563139494849126111e-06
2.477384999999999948e+00,1.232652621891461461e-07,3.555010294477589491e-06
2.507970000000000255e+00,1.233974203241951022e-07,3.546968225404140089e-06
2.538555000000000117e+00,1.235324646069088076e-07,3.539016905354092103e-06
2.569139999999999979e+00,1.236704306721861495e-07,3.531159882117528063e-06
2.599725000000000286e+00,1.238113543044735729e-07,3.523400633945755992e-06
2.630310000000000148e+00,1.239552714385202371e-07,3.515742570050061460e-06
2.660895000000000010e+00,1.241022181603154429e-07,3.508189031191137910e-06
2.691480000000000317e+00,1.242522307082101305e-07,3.500743290347735310e-06
2.722065000000000179e+00,1.244053454742261015e-07,3.493408553479547158e-06
2.752650000000000041e+00,1.245615990055582585e-07,3.486187960358789732e-06
2.783234999999999904e+00,1.247210280062714232e-07,3.479084585485587635e-06
2.813820000000000210e+00,1.248836693391957852e-07,3.472101439069218686e-06
2.844405000000000072e+00,1.250495600280255576e-07,3.465241468079687963e-06
2.874989999999999934e+00,1.252187372596207897e-07,3.458507557363334567e-06
2.905575000000000241e+00,1.253912383865201432e-07,3.451902530819493371e-06
