t,u
0.000000000000000000e+00,1.191940863170820683e-07
3.058500000000000107e-02,1.191946978995228401e-07
6.117000000000000215e-02,1.191959374680392787e-07
9.175500000000000322e-02,1.191978231691756401e-07
1.223400000000000043e-01,1.192003734266517910e-07
1.529250000000000054e-01,1.192036069416029715e-07
1.835100000000000064e-01,1.192075426927242278e-07
2.140950000000000075e-01,1.192121999363204137e-07
2.446800000000000086e-01,1.192175982062595108e-07
2.752649999999999819e-01,1.192237573138293082e-07
3.058500000000000107e-01,1.192306973474988964e-07
3.364350000000000396e-01,1.192384386725821436e-07
3.670200000000000129e-01,1.192470019308058153e-07
3.976049999999999862e-01,1.192564080397804957e-07
4.281900000000000150e-01,1.192666781923758748e-07
4.587750000000000439e-01,1.192778338560000822e-07
4.893600000000000172e-01,1.192898967717848147e-07
5.199449999999999905e-01,1.193028889536750673e-07
5.505299999999999638e-01,1.193168326874257961e-07
5.811150000000000482e-01,1.193317505295064665e-07
6.117000000000000215e-01,1.193476653059137510e-07
6.422849999999999948e-01,1.193646001108943628e-07
6.728700000000000792e-01,1.193825783055790030e-07
7.034550000000000525e-01,1.194016235165294345e-07
7.340400000000000258e-01,1.194217596342000852e-07
7.646249999999999991e-01,1.194430108113161382e-07
7.952099999999999724e-01,1.194654014611699636e-07
8.257950000000000568e-01,1.194889562558380081e-07
8.563800000000000301e-01,1.195137001243208432e-07
8.869650000000000034e-01,1.195396582506082240e-07
9.175500000000000878e-01,1.195668560716724158e-07
9.481350000000000611e-01,1.195953192753913213e-07
9.787200000000000344e-01,1.196250737984057263e-07
1.009305000000000119e+00,1.196561458239123552e-07
1.039889999999999981e+00,1.196885617793969988e-07
1.070475000000000065e+00,1.197223483343095676e-07
1.101059999999999928e+00,1.197575323976857563e-07
1.131645000000000012e+00,1.197941411157183879e-07
1.162230000000000096e+00,1.198322018692815896e-07
1.192814999999999959e+00,1.198717422714117697e-07
1.223400000000000043e+00,1.199127901647496311e-07
1.253985000000000127e+00,1.199553736189471653e-07
1.284569999999999990e+00,1.199995209280428822e-07
