t,u
0.000000000000000000e+00,4.088669633113551314e-06
3.058500000000000107e-02,4.088423988069167743e-06
6.117000000000000215e-02,4.087933332997137841e-06
9.175500000000000322e-02,4.087198510221357991e-06
1.223400000000000043e-01,4.086220526755290035e-06
1.529250000000000054e-01,4.085000554134972962e-06
1.835100000000000064e-01,4.083539928006684731e-06
2.140950000000000075e-01,4.081840147468314860e-06
2.446800000000000086e-01,4.079902874171849163e-06
2.752649999999999819e-01,4.077729931178007561e-06
3.058500000000000107e-01,4.075323301581057299e-06
3.364350000000000396e-01,4.072685126884228311e-06
3.670200000000000129e-01,4.069817705153196645e-06
3.976049999999999862e-01,4.066723488933268560e-06
4.281900000000000150e-01,4.063405082945662670e-06
4.587750000000000439e-01,4.059865241560236371e-06
4.893600000000000172e-01,4.056106866059810831e-06
5.199449999999999905e-01,4.052133001694923077e-06
5.505299999999999638e-01,4.047946834535965269e-06
5.811150000000000482e-01,4.043551688145288811e-06
6.117000000000000215e-01,4.038951020044057982e-06
6.422849999999999948e-01,4.034148418028410472e-06
6.728700000000000792e-01,4.029147596300447204e-06
7.034550000000000525e-01,4.023952391452347485e-06
7.340400000000000258e-01,4.018566758299313343e-06
7.646249999999999991e-01,4.012994765577261335e-06
7.952099999999999724e-01,4.007240591515124683e-06
8.257950000000000568e-01,4.001308519288007516e-06
8.563800000000000301e-01,3.995202932368312302e-06
8.869650000000000034e-01,3.988928309785239490e-06
9.175500000000000878e-01,3.982489221290739991e-06
9.481350000000000611e-01,3.975890322472184193e-06
9.787200000000000344e-01,3.969136349785524242e-06
1.009305000000000119e+00,3.962232115554059153e-06
1.039889999999999981e+00,3.955182502920600407e-06
1.070475000000000065e+00,3.947992460777352954e-06
1.101059999999999928e+00,3.940666998677878937e-06
1.131645000000000012e+00,3.933211181749689058e-06
1.162230000000000096e+00,3.925630125601755986e-06
1.192814999999999959e+00,3.917928991259254793e-06
1.223400000000000043e+00,3.910112980122044023e-06
1.253985000000000127e+00,3.902187328953475633e-06
1.284569999999999990e+00,3.894157304927139439e-06
1.315155000000000074e+00,3.886028200714936841e-06
1.345740000000000158e+00,3.877805329650482886e-06
1.376325000000000021e+00,3.869494020961543206e-06
1.406910000000000105e+00,3.861099615083433755e-06
1.437494999999999967e+00,3.852627459059248204e-06
1.468080000000000052e+00,3.844082902038511399e-06
1.498665000000000136e+00,3.835471290878929449e-06
1.529249999999999998e+00,3.826797965857988119e-06
1.559835000000000083e+00,3.818068256494166607e-06
1.590419999999999945e+00,3.809287477498200526e-06
1.621005000000000029e+00,3.800460924842496658e-06
1.651590000000000114e+00,3.791593871962303695e-06
1.682174999999999976e+00,3.782691566097349830e-06
1.712760000000000060e+00,3.773759224760132531e-06
1.743345000000000145e+00,3.764802032360161481e-06
1.773930000000000007e+00,3.755825136958335426e-06
1.804515000000000091e+00,3.746833647176460722e-06
1.835100000000000176e+00,3.737832629251960235e-06
1.865685000000000038e+00,3.728827104241819696e-06
1.896270000000000122e+00,3.719822045382115806e-06
1.926854999999999984e+00,3.710822375586670760e-06
1.957440000000000069e+00,3.701832965117287286e-06
1.988025000000000153e+00,3.692858629380775189e-06
2.018610000000000237e+00,3.683904126901076969e-06
2.049195000000000100e+00,3.674974157424331031e-06
2.079779999999999962e+00,3.666073360182560022e-06
2.110365000000000268e+00,3.657206312298869996e-06
2.140950000000000131e+00,3.648377527344058416e-06
2.171534999999999993e+00,3.639591454034489463e-06
2.202119999999999855e+00,3.630852475071215899e-06
2.232705000000000162e+00,3.622164906120358074e-06
2.263290000000000024e+00,3.613532994929246647e-06
2.293874999999999886e+00,3.604960920575125959e-06
2.324460000000000193e+00,3.596452792848608492e-06
2.355045000000000055e+00,3.588012651758686180e-06
2.385629999999999917e+00,3.579644467169193609e-06
2.416215000000000224e+00,3.571352138550313111e-06
