t,u
0.000000000000000000e+00,0.000000000000000000e+00
3.058500000000000107e-02,0.000000000000000000e+00
6.117000000000000215e-02,0.000000000000000000e+00
9.175500000000000322e-02,0.000000000000000000e+00
1.223400000000000043e-01,0.000000000000000000e+00
1.529250000000000054e-01,0.000000000000000000e+00
1.835100000000000064e-01,0.000000000000000000e+00
2.140950000000000075e-01,0.000000000000000000e+00
2.446800000000000086e-01,0.000000000000000000e+00
2.752649999999999819e-01,0.000000000000000000e+00
3.058500000000000107e-01,0.000000000000000000e+00
3.364350000000000396e-01,0.000000000000000000e+00
3.670200000000000129e-01,0.000000000000000000e+00
3.976049999999999862e-01,0.000000000000000000e+00
4.281900000000000150e-01,0.000000000000000000e+00
4.587750000000000439e-01,0.000000000000000000e+00
4.893600000000000172e-01,0.000000000000000000e+00
5.199449999999999905e-01,0.000000000000000000e+00
5.505299999999999638e-01,0.000000000000000000e+00
5.811150000000000482e-01,0.000000000000000000e+00
6.117000000000000215e-01,0.000000000000000000e+00
6.422849999999999948e-01,0.000000000000000000e+00
6.728700000000000792e-01,0.000000000000000000e+00
7.034550000000000525e-01,0.000000000000000000e+00
7.340400000000000258e-01,0.000000000000000000e+00
7.646249999999999991e-01,0.000000000000000000e+00
7.952099999999999724e-01,0.000000000000000000e+00
8.257950000000000568e-01,0.000000000000000000e+00
8.563800000000000301e-01,0.000000000000000000e+00
8.869650000000000034e-01,0.000000000000000000e+00
9.175500000000000878e-01,0.000000000000000000e+00
9.481350000000000611e-01,0.000000000000000000e+00
9.787200000000000344e-01,0.000000000000000000e+00
1.009305000000000119e+00,0.000000000000000000e+00
1.039889999999999981e+00,0.000000000000000000e+00
1.070475000000000065e+00,0.000000000000000000e+00
1.101059999999999928e+00,0.000000000000000000e+00
1.131645000000000012e+00,0.000000000000000000e+00
1.162230000000000096e+00,0.000000000000000000e+00
1.192814999999999959e+00,0.000000000000000000e+00
1.223400000000000043e+00,0.000000000000000000e+00
1.253985000000000127e+00,0.000000000000000000e+00
1.284569999999999990e+00,0.000000000000000000e+00
1.315155000000000074e+00,0.000000000000000000e+00
1.345740000000000158e+00,0.000000000000000000e+00
1.376325000000000021e+00,0.000000000000000000e+00
1.406910000000000105e+00,0.000000000000000000e+00
1.437494999999999967e+00,0.000000000000000000e+00
1.468080000000000052e+00,0.000000000000000000e+00
1.498665000000000136e+00,0.000000000000000000e+00
1.529249999999999998e+00,0.000000000000000000e+00
1.559835000000000083e+00,0.000000000000000000e+00
1.590419999999999945e+00,0.000000000000000000e+00
1.621005000000000029e+00,0.000000000000000000e+00
1.651590000000000114e+00,0.000000000000000000e+00
1.682174999999999976e+00,0.000000000000000000e+00
1.712760000000000060e+00,0.000000000000000000e+00
1.743345000000000145e+00,0.000000000000000000e+00
1.773930000000000007e+00,0.000000000000000000e+00
1.804515000000000091e+00,0.000000000000000000e+00
1.835100000000000176e+00,0.000000000000000000e+00
1.865685000000000038e+00,0.000000000000000000e+00
1.896270000000000122e+00,0.000000000000000000e+00
1.926854999999999984e+00,0.000000000000000000e+00
1.957440000000000069e+00,0.000000000000000000e+00
1.988025000000000153e+00,0.000000000000000000e+00
2.018610000000000237e+00,0.000000000000000000e+00
2.049195000000000100e+00,0.000000000000000000e+00
2.079779999999999962e+00,0.000000000000000000e+00
2.110365000000000268e+00,0.000000000000000000e+00
2.140950000000000131e+00,0.000000000000000000e+00
2.171534999999999993e+00,0.000000000000000000e+00
2.202119999999999855e+00,0.000000000000000000e+00
2.232705000000000162e+00,0.000000000000000000e+00
2.263290000000000024e+00,0.000000000000000000e+00
2.293874999999999886e+00,0.000000000000000000e+00
2.324460000000000193e+00,0.000000000000000000e+00
2.355045000000000055e+00,0.000000000000000000e+00
2.385629999999999917e+00,0.000000000000000000e+00
2.416215000000000224e+00,0.000000000000000000e+00
2.446800000000000086e+00,0.000000000000000000e+00
2.477384999999999948e+00,0.000000000000000000e+00
2.507970000000000255e+00,0.000000000000000000e+00
2.538555000000000117e+00,0.000000000000000000e+00
2.569139999999999979e+00,0.000000000000000000e+00
2.599725000000000286e+00,0.000000000000000000e+00
2.630310000000000148e+00,0.000000000000000000e+00
2.660895000000000010e+00,0.000000000000000000e+00
2.691480000000000317e+00,0.000000000000000000e+00
2.722065000000000179e+00,0.000000000000000000e+00
2.752650000000000041e+00,0.000000000000000000e+00
2.783234999999999904e+00,0.000000000000000000e+00
2.813820000000000210e+00,0.000000000000000000e+00
2.844405000000000072e+00,0.000000000000000000e+00
2.874989999999999934e+00,0.000000000000000000e+00
2.905575000000000241e+00,0.000000000000000000e+00
2.936160000000000103e+00,0.000000000000000000e+00
2.966744999999999965e+00,0.000000000000000000e+00
2.997330000000000272e+00,0.000000000000000000e+00
3.027915000000000134e+00,0.000000000000000000e+00
3.058499999999999996e+00,0.000000000000000000e+00
3.089085000000000303e+00,0.000000000000000000e+00
3.119670000000000165e+00,0.000000000000000000e+00
3.150255000000000027e+00,0.000000000000000000e+00
3.180839999999999890e+00,0.000000000000000000e+00
3.211425000000000196e+00,0.000000000000000000e+00
3.242010000000000058e+00,0.000000000000000000e+00
3.272594999999999921e+00,0.000000000000000000e+00
3.303180000000000227e+00,0.000000000000000000e+00
3.333765000000000089e+00,0.000000000000000000e+00
3.364349999999999952e+00,0.000000000000000000e+00
3.394935000000000258e+00,0.000000000000000000e+00
3.425520000000000120e+00,0.000000000000000000e+00
3.456104999999999983e+00,0.000000000000000000e+00
3.486690000000000289e+00,0.000000000000000000e+00
3.517275000000000151e+00,0.000000000000000000e+00
3.547860000000000014e+00,0.000000000000000000e+00
3.578445000000000320e+00,0.000000000000000000e+00
3.609030000000000182e+00,0.000000000000000000e+00
3.639615000000000045e+00,0.000000000000000000e+00
