sqrtN_dJ_N8,sqrtN_dJ_N16,sqrtN_dJ_N32,sqrtN_dJ_N64
-9.223412015759556652e+02,-1.590953772376902634e+03,-2.119223144411157023e+02,1.792389810016989941e+03
1.431206751893407159e+02,-3.252016827424959047e+02,9.630014018793590367e+02,1.032989792259788373e+03
8.011896526035005763e+02,5.197099312047212152e+02,-1.040390665494986024e+03,-1.833915209799801232e+03
1.247721699418516209e+03,5.290800256045476999e+02,8.893394350723229991e+02,-4.697959298969362862e+02
1.079279599995848912e+03,2.807650532599218423e+02,7.783362795660402753e+02,1.636000727888342226e+03
2.354011460422711366e+01,-6.676817408224014798e+02,-3.520596968301230163e+02,-5.522078093040327076e+02
-9.887369434275568665e+02,-3.916312725633615628e+02,2.336779362596118119e+02,3.635821382525027730e+02
-3.867600138313528646e+02,1.055317566665034974e+02,7.660662890803064329e+02,-4.138138834107667208e+01
1.234414692954622069e+03,1.341773957921715919e+03,3.016875352515295958e+02,-2.038965107808471657e+02
-1.217483427143308290e+03,-1.174982459751292481e+03,2.656797348967305652e+02,3.301267943231505342e+01
2.477324878851463268e+02,5.347564143273921218e+02,5.455655080790253351e+02,8.731711753767158370e+02
-1.659822475846667089e+02,1.923080518272559857e+03,1.376906706937129229e+03,1.893076850782381371e+01
-5.529975807865753268e+02,1.305877499110545614e+03,1.581332838810776821e+03,1.331090686840878334e+03
2.672025430488979669e+00,-9.204327991635800572e+02,1.527227157345673959e+03,3.062535099142551189e+03
-2.607420016618930276e+03,-1.385744855540993740e+03,5.656950056665446027e+02,-4.241093367899011355e+02
7.366003235661052031e+02,1.026988757733037346e+03,1.048178534558021795e+02,1.058180269819509704e+03
1.178598083905230851e+03,2.103109895452580531e+03,5.171285685285977252e+02,8.639677375502942596e+02
-2.168224156479742305e+03,-2.450366604039794765e+03,-2.018187215029998015e+03,-4.880485267378389835e+00
-2.366264994413469594e+03,-2.434053672991009080e+03,-2.870586923323152860e+03,-2.053220826669712551e+03
-8.007316964560375254e+02,4.780913500412134454e+01,5.638547069162910930e+02,-8.662996606341330335e+02
-7.469535964790287608e+02,-1.299464611573392176e+03,-1.448119651187123736e+03,-4.060096296460542362e+02
-1.388046593181504477e+03,3.711355311009392608e+02,1.276270914438729960e+03,1.227743480030010687e+03
1.577518544778331034e+03,1.296191089673084207e+03,8.398342856508179466e+02,-3.145431246238877065e+02
-3.074222561149728108e+02,-5.488902944533183472e+02,-3.867653719355498083e+02,-2.962578904837719165e+02
-5.744675890561394453e+02,-1.137943654849703307e+03,-2.265083778539631396e+02,-3.669226132616167888e+02
1.100166904600507451e+03,2.454633227466387325e+03,1.550120902613635963e+03,-2.637246912326372694e+02
7.950677354368783654e+02,1.372063608090713387e+03,5.392380831190520212e+02,2.805093866818904644e+03
8.550901074887907498e+02,6.982587759288289817e+02,7.199839827108380632e+02,-1.118425070930301445e+03
9.249646398524723736e+02,6.382409203010756755e+02,1.847613097977305642e+03,1.201326204169570701e+03
2.292209981673908104e+01,-2.176870480251382105e+02,-9.930310775511590009e+02,-1.083217988095944747e+03
-9.240450200803412599e+02,-3.368109021442796802e+02,2.471862023424453696e+02,5.313863943211326841e+02
-2.150316298354515766e+03,-3.755777816253888886e+03,-3.509552359182170221e+03,-2.804639112008881057e+03
-1.584696992325595374e+03,-1.291613718735112343e+03,-1.626610223226385870e+03,-4.731211858678143471e+02
1.098124059936354342e+03,5.560836099841981195e+02,8.130380537780525856e+02,-8.736073709974880330e+02
-3.861718494356105680e+02,-5.806288027844566386e+02,-1.302784017024574041e+03,-2.669189563161606202e+03
-6.855482191928703060e+02,-1.436218607773334952e+03,-1.539431995932395466e+03,-9.266665159038093407e+02
-8.697086776717640078e+02,-1.684852862428990193e+03,2.682775679629417027e+02,-1.293766546417609788e+02
