t,u
0.000000000000000000e+00,1.459999999869391052e-01
7.499999999999999722e-03,1.463295632440895777e-01
1.499999999999999944e-02,1.466595019968658931e-01
2.249999999999999917e-02,1.469900360395357264e-01
2.999999999999999889e-02,1.473212858984684626e-01
3.749999999999999861e-02,1.476533096722926486e-01
4.499999999999999833e-02,1.479861280793883516e-01
5.249999999999999806e-02,1.483197410987140696e-01
5.999999999999999778e-02,1.486541386881330140e-01
6.750000000000000444e-02,1.489893073925598055e-01
7.499999999999999722e-02,1.493252341546578987e-01
8.249999999999999001e-02,1.496619082701285408e-01
8.999999999999999667e-02,1.499993221553604372e-01
9.750000000000000333e-02,1.503374713938508411e-01
1.049999999999999961e-01,1.506763543804950367e-01
1.124999999999999889e-01,1.510159717762874498e-01
1.199999999999999956e-01,1.513563259098982261e-01
1.275000000000000022e-01,1.516974202086562307e-01
1.350000000000000089e-01,1.520392587045241717e-01
1.424999999999999878e-01,1.523818456354079642e-01
1.499999999999999944e-01,1.527251851460286469e-01
1.575000000000000011e-01,1.530692810824970940e-01
1.649999999999999800e-01,1.534141368691009089e-01
1.724999999999999867e-01,1.537597554532380284e-01
1.799999999999999933e-01,1.541061393038045124e-01
1.875000000000000000e-01,1.544532904489943625e-01
1.950000000000000067e-01,1.548012105409317107e-01
2.024999999999999856e-01,1.551499009362703185e-01
2.099999999999999922e-01,1.554993627839033887e-01
2.174999999999999989e-01,1.558495971127618340e-01
2.249999999999999778e-01,1.562006049144457620e-01
2.324999999999999845e-01,1.565523872170615782e-01
2.399999999999999911e-01,1.569049451478948531e-01
2.474999999999999978e-01,1.572582799836757250e-01
2.550000000000000044e-01,1.576123931881730500e-01
2.625000000000000111e-01,1.579672864374325192e-01
2.700000000000000178e-01,1.583229616335688483e-01
2.774999999999999689e-01,1.586794209082898754e-01
2.849999999999999756e-01,1.590366666176190047e-01
2.924999999999999822e-01,1.593947013293490478e-01
2.999999999999999889e-01,1.597535278047952090e-01
3.074999999999999956e-01,1.601131489763261695e-01
3.150000000000000022e-01,1.604735679221028499e-01
3.225000000000000089e-01,1.608347878392842878e-01
3.299999999999999600e-01,1.611968120168149332e-01
3.374999999999999667e-01,1.615596438087047171e-01
3.449999999999999734e-01,1.619232866085991984e-01
3.524999999999999800e-01,1.622877438262178007e-01
3.599999999999999867e-01,1.626530188661059195e-01
3.674999999999999933e-01,1.630191151089722956e-01
3.750000000000000000e-01,1.633860358957905934e-01
3.825000000000000067e-01,1.637537845146997406e-01
3.900000000000000133e-01,1.641223641906599806e-01
3.974999999999999645e-01,1.644917780777258032e-01
4.049999999999999711e-01,1.648620292537448795e-01
4.124999999999999778e-01,1.652331207172688110e-01
4.199999999999999845e-01,1.656050553863869790e-01
4.274999999999999911e-01,1.659778360991935320e-01
4.349999999999999978e-01,1.663514656156240834e-01
4.425000000000000044e-01,1.667259466203551421e-01
4.499999999999999556e-01,1.671012817264889982e-01
4.574999999999999623e-01,1.674774734797787601e-01
4.649999999999999689e-01,1.678545243631471562e-01
4.724999999999999756e-01,1.682324368012894089e-01
4.799999999999999822e-01,1.686112131651951174e-01
4.874999999999999889e-01,1.689908557764161490e-01
4.949999999999999956e-01,1.693713669109651598e-01
5.024999999999999467e-01,1.697527488027637532e-01
5.100000000000000089e-01,1.701350036465700821e-01
5.174999999999999600e-01,1.705181336003269710e-01
5.250000000000000222e-01,1.709021407869544540e-01
5.324999999999999734e-01,1.712870272955377693e-01
5.400000000000000355e-01,1.716727951819891351e-01
5.474999999999999867e-01,1.720594464691854730e-01
5.549999999999999378e-01,1.724469831466449166e-01
5.625000000000000000e-01,1.728354071698046945e-01
5.699999999999999512e-01,1.732247204589623668e-01
5.775000000000000133e-01,1.736149248979564907e-01
5.849999999999999645e-01,1.740060223326561628e-01
5.925000000000000266e-01,1.743980145693471429e-01
5.999999999999999778e-01,1.747909033730627171e-01
6.074999999999999289e-01,1.751846904659599968e-01
6.149999999999999911e-01,1.755793775257840361e-01
6.224999999999999423e-01,1.759749661844888236e-01
6.300000000000000044e-01,1.763714580270693277e-01
6.374999999999999556e-01,1.767688545906666298e-01
6.450000000000000178e-01,1.771671573639407860e-01
6.524999999999999689e-01,1.775663677868066781e-01
6.599999999999999201e-01,1.779664872505030970e-01
6.674999999999999822e-01,1.783675170980563718e-01
6.749999999999999334e-01,1.787694586251095397e-01
6.824999999999999956e-01,1.791723130811625764e-01
6.899999999999999467e-01,1.795760816711878538e-01
6.975000000000000089e-01,1.799807655576306509e-01
7.049999999999999600e-01,1.803863658627876676e-01
7.125000000000000222e-01,1.807928836715256560e-01
7.199999999999999734e-01,1.812003200343374476e-01
7.274999999999999245e-01,1.816086759707068732e-01
7.349999999999999867e-01,1.820179524727587594e-01
7.424999999999999378e-01,1.824281505091516764e-01
7.500000000000000000e-01,1.828392710291950329e-01
7.574999999999999512e-01,1.832513149671565478e-01
7.650000000000000133e-01,1.836642832467419717e-01
7.724999999999999645e-01,1.840781767856705942e-01
7.800000000000000266e-01,1.844929965003723749e-01
7.874999999999999778e-01,1.849087433107353684e-01
7.949999999999999289e-01,1.853254181448914795e-01
8.024999999999999911e-01,1.857430219439962504e-01
8.099999999999999423e-01,1.861615556669968252e-01
8.175000000000000044e-01,1.865810202953508967e-01
8.249999999999999556e-01,1.870014168376632202e-01
8.325000000000000178e-01,1.874227463342378885e-01
8.399999999999999689e-01,1.878450098615029873e-01
8.474999999999999201e-01,1.882682085363093505e-01
8.549999999999999822e-01,1.886923435200736354e-01
8.624999999999999334e-01,1.891174160227751255e-01
8.699999999999999956e-01,1.895434273067441999e-01
8.774999999999999467e-01,1.899703786902816882e-01
8.850000000000000089e-01,1.903982715510836032e-01
8.924999999999999600e-01,1.908271073294534326e-01
8.999999999999999112e-01,1.912568875312996575e-01
9.074999999999999734e-01,1.916876137309229122e-01
9.149999999999999245e-01,1.921192875735856509e-01
9.224999999999999867e-01,1.925519107778528582e-01
9.299999999999999378e-01,1.929854851377137137e-01
9.375000000000000000e-01,1.934200125244830148e-01
9.449999999999999512e-01,1.938554948884726736e-01
9.525000000000000133e-01,1.942919342604446931e-01
9.599999999999999645e-01,1.947293327528455686e-01
9.674999999999999156e-01,1.951676925608239743e-01
9.749999999999999778e-01,1.956070159630094174e-01
9.824999999999999289e-01,1.960473053221160056e-01
9.899999999999999911e-01,1.964885630853137888e-01
9.974999999999999423e-01,1.969307917843921563e-01
1.004999999999999893e+00,1.973739940357400746e-01
1.012499999999999956e+00,1.978181725401025604e-01
1.020000000000000018e+00,1.982633300821572964e-01
1.027499999999999858e+00,1.987094695299015112e-01
1.034999999999999920e+00,1.991565938338419051e-01
1.042499999999999982e+00,1.996047060260067452e-01
1.050000000000000044e+00,2.000538092187749417e-01
1.057499999999999885e+00,2.005039066035494144e-01
1.064999999999999947e+00,2.009550014492268444e-01
1.072500000000000009e+00,2.014070971005124944e-01
1.080000000000000071e+00,2.018601969760817905e-01
1.087499999999999911e+00,2.023143045665636020e-01
1.094999999999999973e+00,2.027694234323841049e-01
1.102500000000000036e+00,2.032255572014431966e-01
1.109999999999999876e+00,2.036827095666581544e-01
1.117499999999999938e+00,2.041408842833401793e-01
1.125000000000000000e+00,2.046000851664491749e-01
1.132500000000000062e+00,2.050603160877074727e-01
1.139999999999999902e+00,2.055215809725767506e-01
1.147499999999999964e+00,2.059838837971121051e-01
1.155000000000000027e+00,2.064472285846823962e-01
1.162499999999999867e+00,2.069116194025897582e-01
1.169999999999999929e+00,2.073770603585724237e-01
1.177499999999999991e+00,2.078435555971689941e-01
1.185000000000000053e+00,2.083111092960134580e-01
1.192499999999999893e+00,2.087797256620269881e-01
1.199999999999999956e+00,2.092494089275104274e-01
1.207500000000000018e+00,2.097201633461457659e-01
1.214999999999999858e+00,2.101919931889257298e-01
1.222499999999999920e+00,2.106649027400162577e-01
1.229999999999999982e+00,2.111388962925382362e-01
1.237500000000000044e+00,2.116139781442925305e-01
1.244999999999999885e+00,2.120901525934420218e-01
1.252499999999999947e+00,2.125674239341430183e-01
1.260000000000000009e+00,2.130457964521271508e-01
1.267499999999999849e+00,2.135252744202865149e-01
1.274999999999999911e+00,2.140058620941984735e-01
1.282499999999999973e+00,2.144875637076690822e-01
1.290000000000000036e+00,2.149703834682536452e-01
1.297499999999999876e+00,2.154543255527938128e-01
1.304999999999999938e+00,2.159393941029519315e-01
1.312500000000000000e+00,2.164255932207882482e-01
1.319999999999999840e+00,2.169129269643718383e-01
1.327499999999999902e+00,2.174013993434089353e-01
1.334999999999999964e+00,2.178910143149480061e-01
1.342500000000000027e+00,2.183817757791296499e-01
1.349999999999999867e+00,2.188736875750235400e-01
1.357499999999999929e+00,2.193667534765358085e-01
1.364999999999999991e+00,2.198609771884106334e-01
1.372500000000000053e+00,2.203563623423333284e-01
1.379999999999999893e+00,2.208529124931478405e-01
1.387499999999999956e+00,2.213506311151980099e-01
1.395000000000000018e+00,2.218495215987896230e-01
1.402499999999999858e+00,2.223495872468026768e-01
1.409999999999999920e+00,2.228508312714594097e-01
1.417499999999999982e+00,2.233532567912439315e-01
1.425000000000000044e+00,2.238568668280033758e-01
1.432499999999999885e+00,2.243616643042042058e-01
1.439999999999999947e+00,2.248676520404178647e-01
1.447500000000000009e+00,2.253748327529787321e-01
1.454999999999999849e+00,2.258832090518509417e-01
1.462499999999999911e+00,2.263927834387172988e-01
1.469999999999999973e+00,2.269035583052947946e-01
1.477500000000000036e+00,2.274155359318676406e-01
1.484999999999999876e+00,2.279287184860653015e-01
1.492499999999999938e+00,2.284431080219082033e-01
1.500000000000000000e+00,2.289587064790665483e-01
1.507499999999999840e+00,2.294755156824126729e-01
1.514999999999999902e+00,2.299935373418123818e-01
1.522499999999999964e+00,2.305127730522030516e-01
1.530000000000000027e+00,2.310332242939408254e-01
1.537499999999999867e+00,2.315548924334203673e-01
1.544999999999999929e+00,2.320777787239719780e-01
1.552499999999999991e+00,2.326018843070602193e-01
1.560000000000000053e+00,2.331272102137466884e-01
1.567499999999999893e+00,2.336537573664595746e-01
1.574999999999999956e+00,2.341815265810219537e-01
1.582500000000000018e+00,2.347105185690065154e-01
1.589999999999999858e+00,2.352407339403476128e-01
1.597499999999999920e+00,2.357721732062452447e-01
1.604999999999999982e+00,2.363048367823628593e-01
1.612500000000000044e+00,2.368387249922855320e-01
1.619999999999999885e+00,2.373738380712692997e-01
1.627499999999999947e+00,2.379101761702516749e-01
1.635000000000000009e+00,2.384477393601445450e-01
1.642499999999999849e+00,2.389865276363669078e-01
1.649999999999999911e+00,2.395265409236380094e-01
1.657499999999999973e+00,2.400677790810034351e-01
1.665000000000000036e+00,2.406102419071217691e-01
1.672499999999999876e+00,2.411539291457640843e-01
1.679999999999999938e+00,2.416988404915207111e-01
1.687500000000000000e+00,2.422449755957239992e-01
1.694999999999999840e+00,2.427923340725672563e-01
1.702499999999999902e+00,2.433409155053923578e-01
1.709999999999999964e+00,2.438907194531527156e-01
1.717500000000000027e+00,2.444417454570202985e-01
1.724999999999999867e+00,2.449939930471580762e-01
1.732499999999999929e+00,2.455474617495844170e-01
1.739999999999999991e+00,2.461021510931663270e-01
1.747499999999999831e+00,2.466580606167018130e-01
1.754999999999999893e+00,2.472151898760669986e-01
1.762499999999999956e+00,2.477735384514441197e-01
1.770000000000000018e+00,2.483331059545559605e-01
1.777499999999999858e+00,2.488938920359589635e-01
1.784999999999999920e+00,2.494558963923191597e-01
1.792499999999999982e+00,2.500191187736771625e-01
1.799999999999999822e+00,2.505835589906854066e-01
1.807499999999999885e+00,2.511492169217932613e-01
1.814999999999999947e+00,2.517160925203539845e-01
1.822500000000000009e+00,2.522841858216435806e-01
1.829999999999999849e+00,2.528534969497820972e-01
1.837499999999999911e+00,2.534240261245077619e-01
1.844999999999999973e+00,2.539957736678076228e-01
1.852500000000000036e+00,2.545687400103996412e-01
1.859999999999999876e+00,2.551429256980176641e-01
1.867499999999999938e+00,2.557183313974920602e-01
1.875000000000000000e+00,2.562949579025964875e-01
1.882499999999999840e+00,2.568728061396874374e-01
1.889999999999999902e+00,2.574518771730697764e-01
1.897499999999999964e+00,2.580321722100878956e-01
1.905000000000000027e+00,2.586136926059386942e-01
1.912499999999999867e+00,2.591964398681791404e-01
1.919999999999999929e+00,2.597804156609214710e-01
1.927499999999999991e+00,2.603656218086924379e-01
1.934999999999999831e+00,2.609520602999511052e-01
1.942499999999999893e+00,2.615397332902482663e-01
1.949999999999999956e+00,2.621286431050366406e-01
1.957500000000000018e+00,2.627187922420854971e-01
1.964999999999999858e+00,2.633101833735204123e-01
1.972499999999999920e+00,2.639028193474667328e-01
1.979999999999999982e+00,2.644967031893000753e-01
1.987499999999999822e+00,2.650918381024905957e-01
1.994999999999999885e+00,2.656882274690283707e-01
2.002499999999999947e+00,2.662858748494449368e-01
2.009999999999999787e+00,2.668847839824226575e-01
2.017500000000000071e+00,2.674849587839679965e-01
2.024999999999999911e+00,2.680864033461963225e-01
2.032499999999999751e+00,2.686891219356820071e-01
2.040000000000000036e+00,2.692931189913944090e-01
2.047499999999999876e+00,2.698983991222519974e-01
2.054999999999999716e+00,2.705049671042255022e-01
2.062500000000000000e+00,2.711128278770958966e-01
2.069999999999999840e+00,2.717219865407858315e-01
2.077500000000000124e+00,2.723324483513143157e-01
2.084999999999999964e+00,2.729442187163916844e-01
2.092499999999999805e+00,2.735573031906494146e-01
