t,u
0.000000000000000000e+00,1.464806338461863977e-01
7.499999999999999722e-03,1.466427277614533731e-01
1.499999999999999944e-02,1.469053987906953351e-01
2.249999999999999917e-02,1.472230659623927074e-01
2.999999999999999889e-02,1.475671379099209868e-01
3.749999999999999861e-02,1.479205460220341939e-01
4.499999999999999833e-02,1.482738570466835271e-01
5.249999999999999806e-02,1.486225411186911094e-01
5.999999999999999778e-02,1.489650806514319359e-01
6.750000000000000444e-02,1.493016868775156325e-01
7.499999999999999722e-02,1.496334513899621743e-01
8.249999999999999001e-02,1.499618052198629925e-01
8.999999999999999667e-02,1.502881920709441266e-01
9.750000000000000333e-02,1.506138875537870736e-01
1.049999999999999961e-01,1.509399152637634633e-01
1.124999999999999889e-01,1.512670247019902159e-01
1.199999999999999956e-01,1.515957063249276093e-01
1.275000000000000022e-01,1.519262268579972819e-01
1.350000000000000089e-01,1.522586734136037734e-01
1.424999999999999878e-01,1.525929991417964982e-01
1.499999999999999944e-01,1.529290659067926994e-01
1.575000000000000011e-01,1.532666815074887057e-01
1.649999999999999800e-01,1.536056303498154474e-01
1.724999999999999867e-01,1.539456973492477065e-01
1.799999999999999933e-01,1.542866854148694788e-01
1.875000000000000000e-01,1.546284272200378618e-01
1.950000000000000067e-01,1.549707920706490660e-01
2.024999999999999856e-01,1.553136888031447227e-01
2.099999999999999922e-01,1.556570655571097028e-01
2.174999999999999989e-01,1.560009072326065671e-01
2.249999999999999778e-01,1.563452313669492499e-01
2.324999999999999845e-01,1.566900830018955471e-01
2.399999999999999911e-01,1.570355290435367368e-01
2.474999999999999978e-01,1.573816525503895225e-01
2.550000000000000044e-01,1.577285472051916104e-01
2.625000000000000111e-01,1.580763122271176824e-01
2.700000000000000178e-01,1.584250478406927787e-01
2.774999999999999689e-01,1.587748514195444494e-01
2.849999999999999756e-01,1.591258143313174778e-01
2.924999999999999822e-01,1.594780194894795666e-01
2.999999999999999889e-01,1.598315395690219909e-01
3.074999999999999956e-01,1.601864358589119852e-01
3.150000000000000022e-01,1.605427576696239200e-01
3.225000000000000089e-01,1.609005422304943533e-01
3.299999999999999600e-01,1.612598149825577032e-01
3.374999999999999667e-01,1.616205902150588125e-01
3.449999999999999734e-01,1.619828719468874856e-01
3.524999999999999800e-01,1.623466549949099946e-01
3.599999999999999867e-01,1.627119261501185910e-01
3.674999999999999933e-01,1.630786654238089162e-01
3.750000000000000000e-01,1.634468472973056308e-01
3.825000000000000067e-01,1.638164419456508702e-01
3.900000000000000133e-01,1.641874163901830830e-01
3.974999999999999645e-01,1.645597355627751446e-01
4.049999999999999711e-01,1.649333632676086014e-01
4.124999999999999778e-01,1.653082630143016818e-01
4.199999999999999845e-01,1.656843987186927825e-01
4.274999999999999911e-01,1.660617352868607177e-01
4.349999999999999978e-01,1.664402390625491501e-01
4.425000000000000044e-01,1.668198781540030373e-01
4.499999999999999556e-01,1.672006226526307759e-01
4.574999999999999623e-01,1.675824447454971611e-01
4.649999999999999689e-01,1.679653187383567670e-01
4.724999999999999756e-01,1.683492210065444250e-01
4.799999999999999822e-01,1.687341298754579944e-01
4.874999999999999889e-01,1.691200254497937094e-01
4.949999999999999956e-01,1.695068894126401382e-01
5.024999999999999467e-01,1.698947047945602307e-01
5.100000000000000089e-01,1.702834557197351606e-01
5.174999999999999600e-01,1.706731271650753223e-01
5.250000000000000222e-01,1.710637046989044729e-01
5.324999999999999734e-01,1.714551742560602998e-01
5.400000000000000355e-01,1.718475219143608956e-01
5.474999999999999867e-01,1.722407337005644468e-01
5.549999999999999378e-01,1.726347954221316983e-01
5.625000000000000000e-01,1.730296925286338994e-01
5.699999999999999512e-01,1.734254100034800239e-01
