t,u_nominal solution,u_SAA solution
0.000000000000000000e+00,1.459999999869391052e-01,1.459319255628921119e-01
7.499999999999999722e-03,1.463295632440895777e-01,1.464046859019336178e-01
1.499999999999999944e-02,1.466595019968658931e-01,1.468131883279861771e-01
2.249999999999999917e-02,1.469900360395357264e-01,1.471817389647178398e-01
2.999999999999999889e-02,1.473212858984684626e-01,1.475266247541178188e-01
3.749999999999999861e-02,1.476533096722926486e-01,1.478584550765799088e-01
4.499999999999999833e-02,1.479861280793883516e-01,1.481839259473570758e-01
5.249999999999999806e-02,1.483197410987140696e-01,1.485070954368321594e-01
5.999999999999999778e-02,1.486541386881330140e-01,1.488302817519703836e-01
6.750000000000000444e-02,1.489893073925598055e-01,1.491546854335470684e-01
7.499999999999999722e-02,1.493252341546578987e-01,1.494808148785025936e-01
8.249999999999999001e-02,1.496619082701285408e-01,1.498087729301832149e-01
8.999999999999999667e-02,1.499993221553604372e-01,1.501384457431391151e-01
9.750000000000000333e-02,1.503374713938508411e-01,1.504696233332096789e-01
1.049999999999999961e-01,1.506763543804950367e-01,1.508020729144916583e-01
1.124999999999999889e-01,1.510159717762874498e-01,1.511355801974309521e-01
1.199999999999999956e-01,1.513563259098982261e-01,1.514699695236731147e-01
1.275000000000000022e-01,1.516974202086562307e-01,1.518051105598799411e-01
1.350000000000000089e-01,1.520392587045241717e-01,1.521409169501394265e-01
1.424999999999999878e-01,1.523818456354079642e-01,1.524773406199707859e-01
1.499999999999999944e-01,1.527251851460286469e-01,1.528143641808619446e-01
1.575000000000000011e-01,1.530692810824970940e-01,1.531519929890209075e-01
1.649999999999999800e-01,1.534141368691009089e-01,1.534902477791141306e-01
1.724999999999999867e-01,1.537597554532380284e-01,1.538291583569327825e-01
1.799999999999999933e-01,1.541061393038045124e-01,1.541687585431589513e-01
1.875000000000000000e-01,1.544532904489943625e-01,1.545090823739401209e-01
1.950000000000000067e-01,1.548012105409317107e-01,1.548501614532803994e-01
2.024999999999999856e-01,1.551499009362703185e-01,1.551920232940101618e-01
2.099999999999999922e-01,1.554993627839033887e-01,1.555346904616523585e-01
2.174999999999999989e-01,1.558495971127618340e-01,1.558781803360858587e-01
2.249999999999999778e-01,1.562006049144457620e-01,1.562225053204782665e-01
2.324999999999999845e-01,1.565523872170615782e-01,1.565676733491424277e-01
2.399999999999999911e-01,1.569049451478948531e-01,1.569136885712618390e-01
2.474999999999999978e-01,1.572582799836757250e-01,1.572605521129414874e-01
2.550000000000000044e-01,1.576123931881730500e-01,1.576082628440560462e-01
2.625000000000000111e-01,1.579672864374325192e-01,1.579568180974629810e-01
2.700000000000000178e-01,1.583229616335688483e-01,1.583062143063648786e-01
2.774999999999999689e-01,1.586794209082898754e-01,1.586564475403760277e-01
2.849999999999999756e-01,1.590366666176190047e-01,1.590075139324877707e-01
2.924999999999999822e-01,1.593947013293490478e-01,1.593594099978681844e-01
2.999999999999999889e-01,1.597535278047952090e-01,1.597121328517075445e-01
3.074999999999999956e-01,1.601131489763261695e-01,1.600656803374324033e-01
3.150000000000000022e-01,1.604735679221028499e-01,1.604200510788776068e-01
3.225000000000000089e-01,1.608347878392842878e-01,1.607752444710486284e-01
3.299999999999999600e-01,1.611968120168149332e-01,1.611312606239600764e-01
3.374999999999999667e-01,1.615596438087047171e-01,1.614881002732157511e-01
3.449999999999999734e-01,1.619232866085991984e-01,1.618457646696816188e-01
3.524999999999999800e-01,1.622877438262178007e-01,1.622042554588239427e-01
3.599999999999999867e-01,1.626530188661059195e-01,1.625635745585368164e-01
3.674999999999999933e-01,1.630191151089722956e-01,1.629237240424755429e-01
3.750000000000000000e-01,1.633860358957905934e-01,1.632847060341487411e-01
3.825000000000000067e-01,1.637537845146997406e-01,1.636465226153636099e-01
3.900000000000000133e-01,1.641223641906599806e-01,1.640091757512338599e-01
3.974999999999999645e-01,1.644917780777258032e-01,1.643726672327363858e-01
4.049999999999999711e-01,1.648620292537448795e-01,1.647369986368046046e-01
4.124999999999999778e-01,1.652331207172688110e-01,1.651021713030608185e-01
4.199999999999999845e-01,1.656050553863869790e-01,1.654681863258009034e-01
4.274999999999999911e-01,1.659778360991935320e-01,1.658350445594147238e-01
4.349999999999999978e-01,1.663514656156240834e-01,1.662027466350690375e-01
4.425000000000000044e-01,1.667259466203551421e-01,1.665712929864765490e-01
4.499999999999999556e-01,1.671012817264889982e-01,1.669406838824809836e-01
4.574999999999999623e-01,1.674774734797787601e-01,1.673109194643456754e-01
4.649999999999999689e-01,1.678545243631471562e-01,1.676819997856990874e-01
