t,u
0.000000000000000000e+00,2.155493866008809378e-01
7.499999999999999722e-03,1.845588016262104669e-01
1.499999999999999944e-02,1.654176263084655707e-01
2.249999999999999917e-02,1.541229426225840804e-01
2.999999999999999889e-02,1.479030317389254667e-01
3.749999999999999861e-02,1.448719724695829714e-01
4.499999999999999833e-02,1.437678749443297987e-01
5.249999999999999806e-02,1.437619977047071007e-01
5.999999999999999778e-02,1.443233709621314920e-01
6.750000000000000444e-02,1.451238427121101515e-01
7.499999999999999722e-02,1.459715516452885498e-01
8.249999999999999001e-02,1.467643084745086368e-01
8.999999999999999667e-02,1.474570613409860453e-01
9.750000000000000333e-02,1.480394331866693447e-01
1.049999999999999961e-01,1.485204969225913940e-01
1.124999999999999889e-01,1.489187378993162003e-01
1.199999999999999956e-01,1.492556979749300738e-01
1.275000000000000022e-01,1.495521903865051905e-01
1.350000000000000089e-01,1.498262685636149449e-01
1.424999999999999878e-01,1.500923537707820887e-01
1.499999999999999944e-01,1.503610941933840595e-01
1.575000000000000011e-01,1.506396543184083392e-01
1.649999999999999800e-01,1.509322276762047332e-01
1.724999999999999867e-01,1.512406354845214351e-01
1.799999999999999933e-01,1.515649239472888765e-01
1.875000000000000000e-01,1.519039089047156676e-01
1.950000000000000067e-01,1.522556412648868318e-01
2.024999999999999856e-01,1.526177834306890468e-01
2.099999999999999922e-01,1.529878976476545527e-01
2.174999999999999989e-01,1.533636536422788854e-01
2.249999999999999778e-01,1.537429663717230222e-01
2.324999999999999845e-01,1.541240760521815634e-01
2.399999999999999911e-01,1.545055826434283686e-01
2.474999999999999978e-01,1.548864461818641181e-01
2.550000000000000044e-01,1.552659629288006549e-01
2.625000000000000111e-01,1.556437258905038756e-01
2.700000000000000178e-01,1.560195766273621831e-01
2.774999999999999689e-01,1.563935537628982353e-01
2.849999999999999756e-01,1.567658422388596151e-01
2.924999999999999822e-01,1.571367261929355330e-01
2.999999999999999889e-01,1.575065473209492362e-01
3.074999999999999956e-01,1.578756697245906337e-01
3.150000000000000022e-01,1.582444516770553089e-01
3.225000000000000089e-01,1.586132241887992234e-01
3.299999999999999600e-01,1.589822759538145891e-01
3.374999999999999667e-01,1.593518440269404701e-01
3.449999999999999734e-01,1.597221093831787397e-01
3.524999999999999800e-01,1.600931965259649592e-01
3.599999999999999867e-01,1.604651762932231274e-01
3.674999999999999933e-01,1.608380710362196930e-01
3.750000000000000000e-01,1.612118613994618366e-01
3.825000000000000067e-01,1.615864940639291925e-01
3.900000000000000133e-01,1.619618898881639291e-01
3.974999999999999645e-01,1.623379519958884076e-01
4.049999999999999711e-01,1.627145734059196602e-01
4.124999999999999778e-01,1.630916439877577173e-01
4.199999999999999845e-01,1.634690565535004136e-01
4.274999999999999911e-01,1.638467119303780029e-01
4.349999999999999978e-01,1.642245230192471150e-01
4.425000000000000044e-01,1.646024178054198983e-01
4.499999999999999556e-01,1.649803413977165290e-01
4.574999999999999623e-01,1.653582571349948571e-01
4.649999999999999689e-01,1.657361468977049945e-01
4.724999999999999756e-01,1.661140106945178663e-01
4.799999999999999822e-01,1.664918656844941725e-01
4.874999999999999889e-01,1.668697447324305749e-01
4.949999999999999956e-01,1.672476945970926276e-01
5.024999999999999467e-01,1.676257739132602786e-01
5.100000000000000089e-01,1.680040510075664351e-01
5.174999999999999600e-01,1.683826016854784724e-01
5.250000000000000222e-01,1.687615070468888312e-01
5.324999999999999734e-01,1.691408513905419131e-01
5.400000000000000355e-01,1.695207202665151847e-01
5.474999999999999867e-01,1.699011987175155780e-01
5.549999999999999378e-01,1.702823697310821283e-01
5.625000000000000000e-01,1.706643129310216056e-01
5.699999999999999512e-01,1.710471034795713607e-01
5.775000000000000133e-01,1.714308112527268280e-01
5.849999999999999645e-01,1.718155002358398020e-01
5.925000000000000266e-01,1.722012281280080881e-01
5.999999999999999778e-01,1.725880461427643231e-01
6.074999999999999289e-01,1.729759990084051291e-01
6.149999999999999911e-01,1.733651251096663404e-01
6.224999999999999423e-01,1.737554567759067858e-01
6.300000000000000044e-01,1.741470206638574270e-01
6.374999999999999556e-01,1.745398382189068676e-01
6.450000000000000178e-01,1.749339262338492906e-01
6.524999999999999689e-01,1.753292974028476392e-01
6.599999999999999201e-01,1.757259609098343889e-01
6.674999999999999822e-01,1.761239230271313960e-01
6.749999999999999334e-01,1.765231876924851784e-01
6.824999999999999956e-01,1.769237570368285828e-01
6.899999999999999467e-01,1.773256319086470023e-01
6.975000000000000089e-01,1.777288123065161041e-01
7.049999999999999600e-01,1.781332977972415188e-01
7.125000000000000222e-01,1.785390878457719099e-01
7.199999999999999734e-01,1.789461820782702328e-01
7.274999999999999245e-01,1.793545804907062113e-01
7.349999999999999867e-01,1.797642836134781541e-01
7.424999999999999378e-01,1.801752925765555402e-01
7.500000000000000000e-01,1.805876091317287768e-01
7.574999999999999512e-01,1.810012356282836854e-01
7.650000000000000133e-01,1.814161749448000294e-01
7.724999999999999645e-01,1.818324303531474173e-01
7.800000000000000266e-01,1.822500053745818027e-01
7.874999999999999778e-01,1.826689035903918679e-01
7.949999999999999289e-01,1.830891284277908759e-01
8.024999999999999911e-01,1.835106829266837380e-01
8.099999999999999423e-01,1.839335695119329872e-01
8.175000000000000044e-01,1.843577897503877183e-01
8.249999999999999556e-01,1.847833440979425312e-01
8.325000000000000178e-01,1.852102316648028546e-01
8.399999999999999689e-01,1.856384499908531327e-01
8.474999999999999201e-01,1.860679948261047822e-01
8.549999999999999822e-01,1.864988599528633328e-01
8.624999999999999334e-01,1.869310370048594405e-01
8.699999999999999956e-01,1.873645153061269109e-01
8.774999999999999467e-01,1.877992817541254966e-01
8.850000000000000089e-01,1.882353207514409488e-01
8.924999999999999600e-01,1.886726140949075980e-01
8.999999999999999112e-01,1.891111409604964433e-01
9.074999999999999734e-01,1.895508778961728646e-01
9.149999999999999245e-01,1.899917988371666311e-01
9.224999999999999867e-01,1.904338751568474541e-01
9.299999999999999378e-01,1.908770757308429211e-01
9.375000000000000000e-01,1.913213670450875092e-01
9.449999999999999512e-01,1.917667133136790603e-01
9.525000000000000133e-01,1.922130766396551449e-01
9.599999999999999645e-01,1.926604171573102764e-01
9.674999999999999156e-01,1.931086932426528402e-01
9.749999999999999778e-01,1.935578616888877501e-01
9.824999999999999289e-01,1.940078779461774927e-01
9.899999999999999911e-01,1.944586963228559506e-01
9.974999999999999423e-01,1.949102702419179822e-01
1.004999999999999893e+00,1.953625524854928908e-01
1.012499999999999956e+00,1.958154954249100022e-01
1.020000000000000018e+00,1.962690512866340775e-01
1.027499999999999858e+00,1.967231724100778623e-01
1.034999999999999920e+00,1.971778114891433453e-01
1.042499999999999982e+00,1.976329218293592649e-01
1.050000000000000044e+00,1.980884576030190469e-01
1.057499999999999885e+00,1.985443740822174230e-01
1.064999999999999947e+00,1.990006278723055189e-01
1.072500000000000009e+00,1.994571771516632230e-01
1.080000000000000071e+00,1.999139818761028198e-01
1.087499999999999911e+00,2.003710039955712285e-01
1.094999999999999973e+00,2.008282076597415755e-01
1.102500000000000036e+00,2.012855593817435562e-01
1.109999999999999876e+00,2.017430282319261914e-01
1.117499999999999938e+00,2.022005859954821294e-01
1.125000000000000000e+00,2.026582073111347915e-01
1.132500000000000062e+00,2.031158698202061574e-01
1.139999999999999902e+00,2.035735542867248837e-01
1.147499999999999964e+00,2.040312446912868061e-01
1.155000000000000027e+00,2.044889283267384561e-01
1.162499999999999867e+00,2.049465958893983697e-01
1.169999999999999929e+00,2.054042415457523196e-01
1.177499999999999991e+00,2.058618629662107014e-01
1.185000000000000053e+00,2.063194613839410274e-01
1.192499999999999893e+00,2.067770416047886584e-01
1.199999999999999956e+00,2.072346120386100998e-01
1.207500000000000018e+00,2.076921846778099490e-01
1.214999999999999858e+00,2.081497751051735734e-01
1.222499999999999920e+00,2.086074024548202066e-01
1.229999999999999982e+00,2.090650893841221880e-01
1.237500000000000044e+00,2.095228620250114415e-01
1.244999999999999885e+00,2.099807499182540782e-01
1.252499999999999947e+00,2.104387859581688669e-01
1.260000000000000009e+00,2.108970063153498831e-01
1.267499999999999849e+00,2.113554503318351430e-01
1.274999999999999911e+00,2.118141604336803707e-01
1.282499999999999973e+00,2.122731820281091308e-01
1.290000000000000036e+00,2.127325633886933132e-01
1.297499999999999876e+00,2.131923555238952328e-01
1.304999999999999938e+00,2.136526120545351737e-01
1.312500000000000000e+00,2.141133890792413230e-01
1.319999999999999840e+00,2.145747450242422028e-01
1.327499999999999902e+00,2.150367404950677408e-01
1.334999999999999964e+00,2.154994381256556957e-01
1.342500000000000027e+00,2.159629024080069737e-01
1.349999999999999867e+00,2.164271995437706264e-01
1.357499999999999929e+00,2.168923972508166043e-01
1.364999999999999991e+00,2.173585646025906759e-01
1.372500000000000053e+00,2.178257718506642904e-01
1.379999999999999893e+00,2.182940902394285287e-01
1.387499999999999956e+00,2.187635918201717988e-01
1.395000000000000018e+00,2.192343492727190923e-01
1.402499999999999858e+00,2.197064357097256171e-01
1.409999999999999920e+00,2.201799244859747873e-01
1.417499999999999982e+00,2.206548890196820822e-01
1.425000000000000044e+00,2.211314025874512312e-01
1.432499999999999885e+00,2.216095381456990587e-01
1.439999999999999947e+00,2.220893681336611469e-01
1.447500000000000009e+00,2.225709642882461037e-01
1.454999999999999849e+00,2.230543974476338065e-01
1.462499999999999911e+00,2.235397373843852342e-01
1.469999999999999973e+00,2.240270526016364117e-01
1.477500000000000036e+00,2.245164101671798806e-01
1.484999999999999876e+00,2.250078755293735966e-01
1.492499999999999938e+00,2.255015123457597137e-01
1.500000000000000000e+00,2.259973823267604209e-01
1.507499999999999840e+00,2.264955450439015416e-01
1.514999999999999902e+00,2.269960577991727291e-01
1.522499999999999964e+00,2.274989754576595691e-01
1.530000000000000027e+00,2.280043502981420056e-01
1.537499999999999867e+00,2.285122318871227742e-01
1.544999999999999929e+00,2.290226669433083895e-01
1.552499999999999991e+00,2.295356991914598299e-01
1.560000000000000053e+00,2.300513692669123034e-01
1.567499999999999893e+00,2.305697145891807409e-01
1.574999999999999956e+00,2.310907692610782993e-01
1.582500000000000018e+00,2.316145639969508785e-01
1.589999999999999858e+00,2.321411260111351516e-01
1.597499999999999920e+00,2.326704789525196881e-01
1.604999999999999982e+00,2.332026428334900425e-01
1.612500000000000044e+00,2.337376339810766368e-01
1.619999999999999885e+00,2.342754649850140591e-01
1.627499999999999947e+00,2.348161446621159221e-01
1.635000000000000009e+00,2.353596780279808010e-01
1.642499999999999849e+00,2.359060662770760819e-01
1.649999999999999911e+00,2.364553067767297956e-01
1.657499999999999973e+00,2.370073930802493456e-01
1.665000000000000036e+00,2.375623149246918475e-01
1.672499999999999876e+00,2.381200582628801576e-01
1.679999999999999938e+00,2.386806052822910695e-01
1.687500000000000000e+00,2.392439344817081925e-01
1.694999999999999840e+00,2.398100206992921091e-01
1.702499999999999902e+00,2.403788351704412574e-01
1.709999999999999964e+00,2.409503456196441240e-01
1.717500000000000027e+00,2.415245163232679904e-01
1.724999999999999867e+00,2.421013082206724676e-01
1.732499999999999929e+00,2.426806789997837943e-01
1.739999999999999991e+00,2.432625832098209429e-01
1.747499999999999831e+00,2.438469723836358405e-01
1.754999999999999893e+00,2.444337951506075635e-01
1.762499999999999956e+00,2.450229973777414971e-01
1.770000000000000018e+00,2.456145223096833918e-01
