t,u
0.000000000000000000e+00,1.459319255628921119e-01
7.499999999999999722e-03,1.464046859019336178e-01
1.499999999999999944e-02,1.468131883279861771e-01
2.249999999999999917e-02,1.471817389647178398e-01
2.999999999999999889e-02,1.475266247541178188e-01
3.749999999999999861e-02,1.478584550765799088e-01
4.499999999999999833e-02,1.481839259473570758e-01
5.249999999999999806e-02,1.485070954368321594e-01
5.999999999999999778e-02,1.488302817519703836e-01
6.750000000000000444e-02,1.491546854335470684e-01
7.499999999999999722e-02,1.494808148785025936e-01
8.249999999999999001e-02,1.498087729301832149e-01
8.999999999999999667e-02,1.501384457431391151e-01
9.750000000000000333e-02,1.504696233332096789e-01
1.049999999999999961e-01,1.508020729144916583e-01
1.124999999999999889e-01,1.511355801974309521e-01
1.199999999999999956e-01,1.514699695236731147e-01
1.275000000000000022e-01,1.518051105598799411e-01
1.350000000000000089e-01,1.521409169501394265e-01
1.424999999999999878e-01,1.524773406199707859e-01
1.499999999999999944e-01,1.528143641808619446e-01
1.575000000000000011e-01,1.531519929890209075e-01
1.649999999999999800e-01,1.534902477791141306e-01
1.724999999999999867e-01,1.538291583569327825e-01
1.799999999999999933e-01,1.541687585431589513e-01
1.875000000000000000e-01,1.545090823739401209e-01
1.950000000000000067e-01,1.548501614532803994e-01
2.024999999999999856e-01,1.551920232940101618e-01
2.099999999999999922e-01,1.555346904616523585e-01
2.174999999999999989e-01,1.558781803360858587e-01
2.249999999999999778e-01,1.562225053204782665e-01
2.324999999999999845e-01,1.565676733491424277e-01
2.399999999999999911e-01,1.569136885712618390e-01
2.474999999999999978e-01,1.572605521129414874e-01
2.550000000000000044e-01,1.576082628440560462e-01
2.625000000000000111e-01,1.579568180974629810e-01
2.700000000000000178e-01,1.583062143063648786e-01
2.774999999999999689e-01,1.586564475403760277e-01
2.849999999999999756e-01,1.590075139324877707e-01
2.924999999999999822e-01,1.593594099978681844e-01
2.999999999999999889e-01,1.597121328517075445e-01
3.074999999999999956e-01,1.600656803374324033e-01
3.150000000000000022e-01,1.604200510788776068e-01
3.225000000000000089e-01,1.607752444710486284e-01
3.299999999999999600e-01,1.611312606239600764e-01
3.374999999999999667e-01,1.614881002732157511e-01
3.449999999999999734e-01,1.618457646696816188e-01
3.524999999999999800e-01,1.622042554588239427e-01
3.599999999999999867e-01,1.625635745585368164e-01
3.674999999999999933e-01,1.629237240424755429e-01
3.750000000000000000e-01,1.632847060341487411e-01
3.825000000000000067e-01,1.636465226153636099e-01
3.900000000000000133e-01,1.640091757512338599e-01
3.974999999999999645e-01,1.643726672327363858e-01
4.049999999999999711e-01,1.647369986368046046e-01
4.124999999999999778e-01,1.651021713030608185e-01
4.199999999999999845e-01,1.654681863258009034e-01
4.274999999999999911e-01,1.658350445594147238e-01
4.349999999999999978e-01,1.662027466350690375e-01
4.425000000000000044e-01,1.665712929864765490e-01
4.499999999999999556e-01,1.669406838824809836e-01
4.574999999999999623e-01,1.673109194643456754e-01
4.649999999999999689e-01,1.676819997856990874e-01
4.724999999999999756e-01,1.680539248533873264e-01
4.799999999999999822e-01,1.684266946676224452e-01
4.874999999999999889e-01,1.688003092601653987e-01
4.949999999999999956e-01,1.691747687294895552e-01
5.024999999999999467e-01,1.695500732720842951e-01
5.100000000000000089e-01,1.699262232094143898e-01
5.174999999999999600e-01,1.703032190101359533e-01
5.250000000000000222e-01,1.706810613074751515e-01
5.324999999999999734e-01,1.710597509118006732e-01
5.400000000000000355e-01,1.714392888185626296e-01
5.474999999999999867e-01,1.718196762118986698e-01
5.549999999999999378e-01,1.722009144643056600e-01
5.625000000000000000e-01,1.725830051328277603e-01
5.699999999999999512e-01,1.729659499522757937e-01
5.775000000000000133e-01,1.733497508259349007e-01
