N,replication,J_hat_N,se,lo,hi,covers
8,1,-3.1454108712e+01,9.9098646602e-01,-3.3396406494e+01,-2.9511810929e+01,1
8,2,-3.1184602846e+01,1.3275679831e+00,-3.3786588280e+01,-2.8582617412e+01,1
8,3,-3.1826134911e+01,1.0843351299e+00,-3.3951392712e+01,-2.9700877109e+01,1
8,4,-3.3318654194e+01,1.1225327660e+00,-3.5518777987e+01,-3.1118530401e+01,1
8,5,-3.4805405579e+01,6.3668423865e-01,-3.6053283756e+01,-3.3557527402e+01,0
8,6,-3.2474869340e+01,1.0509750409e+00,-3.4534742569e+01,-3.0414996111e+01,1
8,7,-3.2394243715e+01,2.0164454677e+00,-3.6346404208e+01,-2.8442083221e+01,1
8,8,-3.0458822221e+01,1.2248500473e+00,-3.2859484200e+01,-2.8058160242e+01,1
8,9,-3.1642933605e+01,8.7749684863e-01,-3.3362795825e+01,-2.9923071385e+01,1
8,10,-3.2818620920e+01,5.7550110816e-01,-3.3946582365e+01,-3.1690659475e+01,1
8,11,-3.0267129410e+01,1.1054352338e+00,-3.2433742656e+01,-2.8100516165e+01,1
8,12,-3.3726763898e+01,1.2359296902e+00,-3.6149141578e+01,-3.1304386218e+01,1
8,13,-3.2323036193e+01,4.8358839650e-01,-3.3270852034e+01,-3.1375220353e+01,1
8,14,-3.3485395946e+01,1.4630238859e+00,-3.6352870071e+01,-3.0617921821e+01,1
8,15,-3.3983667792e+01,9.3138930677e-01,-3.5809157289e+01,-3.2158178296e+01,0
8,16,-3.2405382262e+01,1.2472136758e+00,-3.4849876148e+01,-2.9960888377e+01,1
8,17,-3.1950352572e+01,1.4880876853e+00,-3.4866950841e+01,-2.9033754303e+01,1
8,18,-3.0693080769e+01,1.2393911177e+00,-3.3122242723e+01,-2.8263918816e+01,1
8,19,-3.1596373295e+01,7.6817646740e-01,-3.3101971505e+01,-3.0090775085e+01,1
8,20,-3.4368820152e+01,1.4142689035e+00,-3.7140736267e+01,-3.1596904037e+01,1
8,21,-3.2331719369e+01,1.7641944129e+00,-3.5789476880e+01,-2.8873961857e+01,1
8,22,-3.2383218340e+01,1.3721413501e+00,-3.5072565968e+01,-2.9693870712e+01,1
8,23,-3.3280350970e+01,1.3497034138e+00,-3.5925721051e+01,-3.0634980890e+01,1
8,24,-2.9695730791e+01,9.1519261488e-01,-3.1489475355e+01,-2.7901986227e+01,0
8,25,-3.1521023608e+01,6.3916558832e-01,-3.2773765141e+01,-3.0268282075e+01,1
8,26,-3.2479623378e+01,1.4017472558e+00,-3.5226997515e+01,-2.9732249241e+01,1
8,27,-3.1100890650e+01,1.5806868759e+00,-3.4198979998e+01,-2.8002801302e+01,1
8,28,-3.1166396491e+01,1.0649734771e+00,-3.3253706150e+01,-2.9079086831e+01,1
8,29,-3.1910368257e+01,1.1584968028e+00,-3.4180980267e+01,-2.9639756247e+01,1
8,30,-3.0808860158e+01,1.3664357619e+00,-3.3487025038e+01,-2.8130695277e+01,1
8,31,-3.2335880744e+01,1.4650882723e+00,-3.5207400992e+01,-2.9464360496e+01,1
8,32,-3.1179533901e+01,1.5951641087e+00,-3.4305998104e+01,-2.8053069699e+01,1
8,33,-3.2781113288e+01,1.0778178391e+00,-3.4893597435e+01,-3.0668629142e+01,1
8,34,-3.2260017123e+01,1.0854311799e+00,-3.4387423144e+01,-3.0132611103e+01,1
8,35,-3.0739087511e+01,1.2279208278e+00,-3.3145768110e+01,-2.8332406913e+01,1
8,36,-3.2574928372e+01,1.1710716266e+00,-3.4870186583e+01,-3.0279670161e+01,1
8,37,-3.1021038185e+01,1.6609628632e+00,-3.4276465577e+01,-2.7765610794e+01,1
