N,level,z,Jhat,sigma,se,halfwidth,lo,hi
8.000000000000000000e+00,9.000000000000000222e-01,1.644853626951471970e+00,-2.989453441428914360e+01,3.820909698415171363e+00,1.350895579025406912e+00,2.222025492792649271e+00,-3.211655990708179331e+01,-2.767250892149649388e+01
8.000000000000000000e+00,9.499999999999999556e-01,1.959963984540054049e+00,-2.989453441428914360e+01,3.820909698415171363e+00,1.350895579025406912e+00,2.647706681764180114e+00,-3.254224109605332416e+01,-2.724682773252496304e+01
8.000000000000000000e+00,9.899999999999999911e-01,2.575829303548900384e+00,-2.989453441428914360e+01,3.820909698415171363e+00,1.350895579025406912e+00,3.479676418488302225e+00,-3.337421083277744316e+01,-2.641485799580084048e+01
1.600000000000000000e+01,9.000000000000000222e-01,1.644853626951471970e+00,-3.068811331813488863e+01,4.008388551941362010e+00,1.002097137985340503e+00,1.648303111972877044e+00,-3.233641643010776789e+01,-2.903981020616201292e+01
1.600000000000000000e+01,9.499999999999999556e-01,1.959963984540054049e+00,-3.068811331813488863e+01,4.008388551941362010e+00,1.002097137985340503e+00,1.964074299461932238e+00,-3.265218761759682309e+01,-2.872403901867295772e+01
1.600000000000000000e+01,9.899999999999999911e-01,2.575829303548900384e+00,-3.068811331813488863e+01,4.008388551941362010e+00,1.002097137985340503e+00,2.581231173025126058e+00,-3.326934449116001247e+01,-2.810688214510976124e+01
3.200000000000000000e+01,9.000000000000000222e-01,1.644853626951471970e+00,-3.088203572716260581e+01,3.666635558644339543e+00,6.481757169142843278e-01,1.066154178868331082e+00,-3.194818990603093667e+01,-2.981588154829427495e+01
3.200000000000000000e+01,9.499999999999999556e-01,1.959963984540054049e+00,-3.088203572716260581e+01,3.666635558644339543e+00,6.481757169142843278e-01,1.270401060805426807e+00,-3.215243678796803550e+01,-2.961163466635717967e+01
3.200000000000000000e+01,9.899999999999999911e-01,2.575829303548900384e+00,-3.088203572716260581e+01,3.666635558644339543e+00,6.481757169142843278e-01,1.669590005476630168e+00,-3.255162573263923775e+01,-2.921244572168597387e+01
6.400000000000000000e+01,9.000000000000000222e-01,1.644853626951471970e+00,-3.139597815986352458e+01,3.382293917837750907e+00,4.227867397297188634e-01,6.954223022714161040e-01,-3.209140046213494202e+01,-3.070055585759210715e+01
6.400000000000000000e+01,9.499999999999999556e-01,1.959963984540054049e+00,-3.139597815986352458e+01,3.382293917837750907e+00,4.227867397297188634e-01,8.286467830113585231e-01,-3.222462494287488255e+01,-3.056733137685216661e+01
6.400000000000000000e+01,9.899999999999999911e-01,2.575829303548900384e+00,-3.139597815986352458e+01,3.382293917837750907e+00,4.227867397297188634e-01,1.089026473347711965e+00,-3.248500463321123988e+01,-3.030695168651581284e+01
