sqrtN_dJ_N8,sqrtN_dJ_N16,sqrtN_dJ_N32,sqrtN_dJ_N64
-5.664705991516442829e+00,-6.438968587168346858e+00,-6.446574604047446977e-01,-2.140021467080487128e+00
-1.338469451261558252e+00,-8.292476424930725898e-01,-9.135245227070392104e-01,-1.198309775824270673e+00
4.974260393953511827e-01,3.270547864088385381e+00,-2.357016710940193160e+00,-4.316208804696600509e+00
-2.686129126704929870e+00,-9.018539881295168925e-01,4.222368759971319996e+00,-2.445011599185136220e-01
1.913650565464435349e+00,1.715184624595877949e+00,7.891600001710460943e-02,-3.189058892179161830e+00
-1.773062878400216036e+00,3.379997552845964037e+00,4.270028075437756421e+00,4.216190092538283807e+00
-5.456738492548797170e-01,-4.561646967288368160e+00,-2.551098404006087783e+00,-2.091783199127121406e+00
1.822770983712986015e-01,1.950373978556527277e+00,3.520047982647048102e+00,1.364499706281350200e+00
3.608300464533962248e+00,-9.002913133124081924e-01,-1.950540690062995575e+00,1.946204464404104328e-01
-6.606613877698882753e+00,-4.703800786716499260e+00,-2.550265641347103873e+00,4.727042370628424806e+00
1.008044735116387036e+00,-3.208054480214116211e+00,-4.247380183523254082e+00,-3.263901439481685429e+00
-2.899296220151317716e+00,-7.219957065730852719e+00,-1.106940863919038520e+01,-6.033383226812077282e+00
1.878146079879239316e+00,3.422434650925495703e+00,-2.571307520261898905e+00,-4.480982489328027896e+00
-4.060108442457169176e+00,-6.328969355169817845e+00,-1.685942867790367394e+00,-3.941232288076776058e+00
-3.736261108718246682e+00,-1.025808403565548588e+00,-4.264591985152839548e+00,1.327199648114373076e+00
-2.882735526414913707e+00,1.697238523862893089e+00,1.488161317458608135e+00,8.055786361964862863e-01
-2.590457016653707090e+00,4.944977892066788172e+00,4.303333873716162827e+00,5.281956588210789505e+00
-4.674740855557264041e+00,1.090739613324700485e+00,8.297431348195223322e-01,3.365154823229630665e+00
-1.811513055258157534e+00,-4.845363992167193601e+00,2.280268967432617533e+00,-1.331664897571101847e+00
1.615649891104701474e+00,-2.094303626028022336e+00,1.282573946679360199e+00,2.459556867476976549e+00
-7.945226063903383373e-01,-2.138491932493025161e-01,6.000412172682808354e+00,1.796472557216759469e+00
-7.658496446329665641e-01,-2.423987816577721333e+00,7.487316471770677495e-01,1.884222427687689105e+00
-3.220345434104517679e+00,3.610678237225783960e-02,-2.822927746794611892e+00,-4.206309965737204948e+00
6.958038431727777695e-01,-2.347981604532066058e+00,1.151512707038681249e+00,4.173925362135292971e+00
-6.840176152347188232e-01,4.828664424679544709e+00,4.697507379470395872e-01,-4.639251094638154882e+00
1.501854625733230544e-02,-9.743044343271378693e-01,4.058575933964272964e-01,3.010091005772437711e+00
-6.072185798543080715e+00,-2.231420736295007146e+00,-4.918740768088146531e+00,-2.183819416070377883e+00
1.110030251883614039e+00,-5.971613329525638392e+00,-6.397615890367858604e+00,-2.367078605090000565e+00
3.373097940384233606e+00,5.791901452540670903e+00,1.033185462251380038e+01,7.914404962593010850e+00
1.389508122228150011e+00,3.561523392625602469e+00,3.260103080644259688e+00,2.805370311251067506e-01
3.453050120170493287e-01,7.912741239065184118e-01,1.526138060399479635e+00,9.364480589235313346e-01
-5.629128776149534552e+00,-4.059595770857811203e-01,-5.814484498235761301e+00,-3.877218437624094349e+00
-1.122720702958608641e+01,-5.256645262795473172e+00,-3.135687539452830297e+00,-4.236904727931118941e+00
-2.380644449819612429e+00,1.306776983480517629e-01,2.474474875337367763e+00,2.228409176004788605e-01
-2.541632765174636877e+00,-7.932957004258867073e-01,-4.671510845054513972e+00,-4.174942778093338802e+00
2.114545664431477956e+00,4.428367393418852771e-02,-1.106902156784783875e+00,-1.731204157212687278e+00
6.491049385997402332e+00,2.912369294110064288e+00,4.370277923168297995e+00,5.927506180292709814e+00
-1.982467214688730550e+00,-3.045900215702317837e+00,-3.891239731229650722e+00,-6.764562849067431216e+00
-3.062940886743251934e+00,-2.260475102303672656e+00,-4.476885598833903579e+00,-4.125058627876057926e+00
3.326015217465899898e+00,2.880222849865035073e+00,-1.132568085077876541e+00,-2.585884654063079324e+00
-2.492982174634027714e+00,2.176321649946800108e+00,-3.336260966313604470e+00,1.150147950400054242e+00
-3.140711457188514188e+00,-2.888020198355320645e+00,2.153457071309837101e+00,7.085020498835774561e-01
-3.552382753607433941e+00,-2.419154830288363200e+00,3.485777184023913122e+00,3.362350192760260370e+00
-2.145136219872043171e+00,-1.496602811560819646e+00,-2.896719810583090027e+00,-1.042250980604706001e+00
5.243004485445057483e+00,7.224979814843791814e+00,5.816717591288355749e+00,3.909164017214948217e+00
2.836941795782186304e+00,4.217567191552504369e+00,7.214795988761520285e+00,1.185811777631727182e+00
-6.190516046220349011e+00,-3.091381004154214907e+00,-6.268649167706760394e+00,-4.817310144060286348e+00
-8.253000436777364890e-02,-3.303725501132390718e+00,-4.962466691157811916e+00,-5.622612929448678187e+00
1.265072268469925598e+00,-2.982221215278286763e-01,-3.009319271499556248e+00,-4.762622554855340695e+00
9.673721983351279974e-02,6.119875446049150014e-02,8.125818320248890947e-01,3.532820558869275374e+00
3.128665397993045882e+00,-3.276993084255082067e-01,-1.046462378931428239e+00,-4.241893259451899212e+00
4.004024565907005062e+00,1.742148463673316883e+00,3.398207194572905987e+00,4.790777741305475956e+00
-5.208009943630911742e+00,-5.634292698221230467e+00,-7.200241183907379883e-01,-3.173905179890937234e+00
-1.824189000684641293e+00,-2.009801241223271973e+00,-4.295240090289679458e+00,-3.930132126793807856e+00
-3.020893742876830768e+00,-2.031566761749246552e+00,-2.458409839116699747e+00,1.289818998185836563e+00
-8.063371840472832730e+00,-7.107745905673226616e+00,-1.327347128484956285e+00,-8.492037461222707861e-01
4.309362647083637476e+00,5.598405320592561907e+00,2.318288730799397346e+00,3.139181334486977448e+00
4.122661281262812727e-01,-3.974577005954529341e+00,-8.800828074608151752e+00,-4.798634036490227572e+00
4.321033835209206586e+00,3.509541093587941418e+00,5.524435632701505838e+00,3.722841750953136852e+00
2.612602242514594497e-01,7.593277250031746917e+00,6.795794721681402528e+00,7.026824034477868963e+00
-2.952953582660593490e+00,-3.889212060491729517e+00,1.758520297048816072e+00,2.575574833741910652e+00
2.679237105214801740e-01,-2.854146310655778507e-01,-8.846427080050004443e-01,-3.844377844555538104e+00
-1.613730447155380165e+00,-3.072733394871363544e+00,-2.462954915101761788e+00,-1.440530910832080735e-01
-2.969275934396264915e+00,-1.834581488728588283e-01,-3.517754764379805721e+00,-3.668849665976267715e+00
1.313163310170162301e+00,-2.086275678059337224e-01,-1.681065489292644433e+00,-4.198375847485010581e+00
1.706739689651819880e+00,5.875004358967061080e+00,5.617562361505974877e+00,5.068417811175919496e+00
-1.147460452790768581e+00,-6.148073088144911935e+00,-6.265283846821317226e+00,-2.698540837447978902e+00
1.075530850215572903e-01,-9.416602962881768235e-01,-5.498668073510502019e+00,-8.200303768623484757e-01
-1.935909324442802948e+00,-7.319947671680495205e+00,-5.646303872277279368e+00,-2.862485824666293865e+00
2.738621459366345157e+00,-7.869720827251569517e-01,-3.626709311885557785e+00,-6.876706026681517869e+00
6.870903904674830365e+00,1.623816723381651173e+00,3.706864960828730737e+00,4.942957602327936684e+00
-3.073261043287682348e+00,-2.355325038198571974e+00,-5.439522742294541580e+00,-5.943924478969677239e+00
1.263806492232942613e+00,3.739764051670391609e+00,5.857529621462771452e-01,-1.814488672538402625e+00
2.399036212388029554e+00,2.963275643465081544e+00,1.319860890348935056e+00,-2.051547427632044673e+00
-1.817885103626090681e-01,7.109953516728495515e-01,3.623006070118782507e+00,7.065938091653833908e-01
3.941922621619768030e+00,2.755250003870088449e+00,3.143662690949316829e+00,2.286163829780718970e+00
1.254559719122372297e+00,3.653996460806752111e-01,-1.731788854868673511e+00,2.383540124047272002e-01
2.350951046529972555e+00,2.733671782537314243e+00,2.004207727039662768e+00,3.708264421885587581e-02
7.031773770053949546e-01,-1.047367047193517919e+00,-3.525682609969867709e+00,-8.603638584280020041e-01
-6.251615934889686033e-01,-1.469644309117370540e-01,1.829993842641028046e+00,6.085291898631851382e+00
-6.396241745634359432e+00,-6.006300797384426460e+00,-3.819154872645010634e+00,-4.460396657396643150e+00
-2.800932342391758922e+00,-5.223978847238868184e-01,-5.453021148533575335e+00,8.346582764301899715e-01
2.182556628061616433e+00,5.125158797354828266e+00,1.538550976250212532e+00,-2.006324370653146616e+00
6.777582736238628058e+00,6.854098392107644599e+00,3.775995989798880625e+00,4.419259156575833458e+00
-1.545256321190839222e+00,9.084548499220517215e-01,3.480949431270258021e+00,4.466240528789256814e+00
6.097955312767351366e-01,1.034698715562470284e+00,1.043989364668775677e+00,1.393526565674875428e+00
2.028612891678891028e+00,-8.415278162341621737e-01,-2.674979605025380902e+00,-1.182994445804354200e+00
-2.955359179823845217e+00,-1.626728596972071728e+00,-6.854448642728983021e-01,-2.776807493970295582e+00
4.952697552160542638e-01,7.255043901667619366e-01,-1.370254617842062705e+00,9.349061907107056868e-01
4.016450967063217803e+00,9.965130173600726948e-01,3.030126186915017339e+00,7.007264800976713559e+00
-2.374362423512513587e+00,-4.516757468946792642e+00,-6.324537837205749469e+00,-9.011399956525735888e+00
-4.763296355640568969e+00,-4.565921480190411330e+00,-6.560721499947143265e+00,-4.722362997242726124e-01
-3.510386476688478918e+00,-4.004681612763107523e+00,-4.089259272885041874e+00,-3.273242781998703776e+00
2.320308451005835604e+00,-4.685407068994891233e-01,-1.023070859338965244e+00,-2.522554179151768494e+00
-1.154349762536358126e+00,-1.167489924154352821e+00,-1.813635264063762076e+00,-1.141051923359498232e+00
-4.489736098094643246e+00,-4.578347542896722189e+00,1.430045312413802394e+00,-5.516346798173117350e-01
-1.306739927239809029e+00,-1.299169384362500068e+00,-5.922182598406237730e+00,-1.272007734185649497e+00
1.110335018525410611e+00,-3.021444177075977677e+00,-2.640310752462435850e+00,-2.341970230217214066e+00
6.981600006444210749e-01,-3.407352935275866912e-01,-5.744203294968754786e-02,2.374841394553754981e-01
-1.034399463901041205e+00,-2.009666399164586892e+00,-2.850048666373790951e+00,-6.162258552744788176e-01
2.409340208392511951e+00,-1.499781357418584093e+00,-3.644529780490329607e+00,-5.026695620306384171e+00
1.582881999612592461e+00,6.089185386593001681e+00,5.726537152901784111e+00,7.228341304227711817e+00
3.252631374746958848e+00,1.152820701763502598e+00,-2.112047359787490919e+00,-1.836025534406189763e+00
5.693332601159539763e+00,6.701800032108067740e+00,2.687612637524725567e+00,3.256411602544915240e+00
2.317500522636850580e+00,2.355762728413637319e+00,7.251703888060786474e-01,2.658909315347699476e+00
2.870135902415264617e+00,-1.612060740345526710e+00,-1.606914968985561964e+00,-2.613172350849936265e+00
2.362994773491924605e-01,1.071540885905903906e-01,-1.038043003762817218e+00,-1.409786098430458878e-01
-3.892250438656165823e+00,2.439892002213639444e-01,1.008949611421209092e+00,-2.428219489122056984e+00
2.278130339531122317e+00,-1.828293751060868999e+00,1.012099577338404499e+00,1.964635711864275436e+00
-2.169086475266206460e+00,9.707252907073780079e-01,8.301569928436244084e+00,5.885847282111797085e+00
7.428482782512465521e-01,-3.018988399797706279e+00,-5.502982607966224737e-01,2.422037490654389558e+00
-5.000098294657935760e+00,-8.664222434429120767e-01,-2.035824608920113743e+00,-1.772695317525347036e+00
-2.725935683098908324e+00,-3.364030316173511892e+00,-6.524323937929606743e+00,-1.013667456043322090e+00
-5.280294485924746262e+00,-4.546892452808720009e+00,-6.431176774115850314e+00,-3.214671621737636542e+00
2.037271620402162142e+00,1.963908392552369264e+00,3.227480240486159779e+00,6.042453509786554378e+00
2.398671301894602870e+00,5.528963288799104703e-02,6.621574679990456236e-01,-4.278673993218092164e+00
1.180604440484908535e+00,2.927439525180076885e+00,2.314071899466939308e-02,4.612674921593253430e+00
-5.057879586049907061e-01,2.163911049132977382e+00,2.531223202709807829e+00,2.591947154308712697e+00
-4.441674825677861121e-02,1.874972741491703232e+00,-2.343904923142019925e+00,-1.880562901876487558e+00
5.503380764717055840e+00,3.876468160331967283e+00,-9.238949970998296957e-01,-6.136547763476585260e+00
2.210517108207851411e+00,-3.107070413195174297e-01,-4.223968529728186816e+00,-3.169882078714181262e+00
1.424195394823225769e+00,-1.548180887587562893e+00,4.179992991120473178e+00,1.552059992328508997e+00
3.133638611214900616e-02,-2.129501532470243319e+00,-2.025838113059480250e+00,-2.729478980220733320e+00
2.380762372400607063e+00,2.044002508764009463e+00,3.355601398067814323e+00,-5.486614083263248176e-01
2.106757031565990035e-01,5.673823259438549371e+00,3.283521472668581076e+00,-4.119758506059838510e-01
9.491523347568310287e-01,2.096537157155694331e+00,2.681295427750975513e+00,2.985103537819782105e-01
-5.342306656261299302e+00,-6.962602291820388700e+00,-7.655507012146792079e+00,-7.313293727841028158e+00
-3.845009953611015496e-01,2.243981512160161174e+00,1.627188366714199530e+00,3.706109107818917892e-01
-5.503982948077500659e+00,-6.210579338765029433e+00,-1.726147896512868485e+00,4.746474851947823481e+00
-2.496767317354352311e+00,-5.835125572947362116e+00,-3.515459377556849674e+00,-2.367887354859021798e+00
-8.835692366742513570e+00,-6.390259359258237737e+00,-5.018516758968128322e+00,2.007379096881209080e+00
5.280429023090160712e+00,3.770771093006956676e+00,1.168735297404421392e+00,-1.285070889785743020e+00
1.335102035917250518e+00,-1.605554431053178632e+00,1.409658088396473219e-01,4.335624857175275793e+00
6.025487888841689177e+00,-2.558192062421085211e-01,-3.526967909595596584e+00,-8.300409805227502602e+00
-4.125994170819632600e+00,-2.270829294477749727e+00,-1.373792732137158579e+00,2.859983308764157073e+00
-1.390752552734733305e+00,7.090748745500690120e-01,-6.175014914976457991e-02,1.157119340166275379e+00
1.648694639559074693e+00,6.024957810367936872e+00,3.032789753988315073e+00,-1.276081179998811876e+00
-3.974874098965664793e+00,1.590222335880440596e+00,4.627496096779064594e+00,1.096489108855934091e+00
4.063800175032069362e+00,4.432308317275897025e+00,5.016645403277071757e+00,5.848676429522896569e+00
3.421260024918389320e+00,6.651504519964262840e+00,4.770102780202772230e+00,4.018559798818301942e+00
1.260458785233870227e+00,3.552055803690450375e-01,-1.618682391452984648e+00,6.957045687777281273e-01
-7.201779998272531680e-01,-4.638193233795988135e+00,-4.992598962405165430e+00,-6.883648300717084112e+00
-4.237679067413278877e-02,-3.984950614896547449e+00,-6.053557034329898556e+00,-7.188016209578449889e+00
-2.909822082034874136e+00,-2.909631183210336758e+00,3.324593982460173791e+00,2.527375382638069823e+00
-5.240692742728627618e-01,-1.432530503236876029e+00,-2.443150646455366726e+00,2.899698560174783779e-01
-4.438747869590184081e+00,3.289135401545735249e+00,5.027349238868405124e+00,6.376267576476379872e-01
-1.931311611085253288e+00,1.543664619504426128e+00,2.345582829929242497e+00,-4.720197866617127147e+00
-4.659422686784615131e+00,-4.977055189489192344e+00,-2.160706342990678319e+00,-1.955491325209550268e+00
4.192388140475466485e-01,-3.183147877873580001e+00,-6.275535571029268844e+00,-6.017321286720402895e-01
-1.023495984476503295e+01,-1.113780899910557309e+01,-8.065606007837432756e+00,-5.342797674803648533e+00
1.738299144542273744e+00,4.186065844031247707e+00,7.444837741869132941e+00,2.465183060516494606e+00
-5.431888245368562629e+00,-5.557905275083385277e+00,-6.536498315802505843e+00,1.008526800742203022e+00
-2.248890389494280218e+00,-2.817857680011371713e+00,-1.239999240342714915e+00,1.065874468593420943e+00
2.215930774929206315e+00,4.213277927530896250e-01,1.585643818757441093e+00,-2.073255355791673082e+00
7.128946192159657969e+00,4.509452361543125676e+00,4.087706803056691957e-02,4.295011771269344081e+00
-2.515030079326379564e+00,1.375266746845085208e+00,-1.435491139404053262e+00,-4.878462597443729010e+00
-8.466938574639417681e-01,2.647493896599343088e+00,6.135416646382209294e+00,5.947051159598601089e+00
1.042688294027442675e+00,-1.887690651327119440e+00,-2.228879273581267473e+00,5.717514667346961232e-01
-3.718020018895555334e-01,1.243466681454776790e+00,2.252597608760655401e+00,1.207308248215639424e+00
-3.526423977387842523e+00,-4.651529027239178049e+00,-5.925972608269288067e+00,-9.315554249873230219e-01
2.722218028028182246e+00,2.453496447905479272e+00,6.001592122649239691e-01,-8.386323053340447586e-01
3.144936134542139605e+00,-2.304837898978831845e+00,2.631612035328259047e+00,4.022540505193802574e+00
